ID,CAT DEPTO,CAT MUN,REGION,DEPARTAME_COD,DEPARTAME_NOMBRE,MUNICIPIO_NOMBRE,MUNICIPIO_COD,LIN BASE 2014,META,AVA,PER INSC REG,PER INSC,PER BEN EMP,PER BEN BOOTSCAMPS,PER CAP EMP,PER GRAD,EQU ACOMP,EQU ETP TEMP,EQU ETP MAD,CAMB JUEG,AYUDAPPS,TOT STAR UPS,INV MINTIC EJEC,INV MINITC PROY,POR INV MINITC,INV CONTR EJEC,CONTR PROY,INV MINTIC PROY CONT,COSTO,ID_INDICADOR,FECHA CARGUE,FECHA VIGENCIA,META1
91405,,,Regi�n Centro Sur,91,AMAZONAS,LA CHORRERA,91405,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,9365,2021-12-31,2021-12-31,
,,,Regi�n Centro Orient,54,NORTE DE SANTANDER,OCA�A,54498,64,Por demanda,0,0,0,46,46,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",,,5677,2018-12-31,2018-12-31,
,,,Regi�n Caribe,20,CESAR,LA PAZ,20621,4,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Pac�fico,52,NARI�O,POLICARPA,52540,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,4290,2016-12-31,2016-12-31,
,,,Regi�n Pac�fico,52,NARI�O,CORDOBA,52215,1,Por demanda,0,0,0,3,3,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Eje Cafetero,05,ANTIOQUIA,TARSO,05792,0,Por demanda,0,0,0,1,1,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
,,,Regi�n Centro Sur,86,PUTUMAYO,VALLE DEL GUAMUEZ,86865,2,Por demanda,0,0,0,2,2,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,5362,2017-12-31,2017-12-31,
,,,Regi�n Caribe,08,ATLANTICO,REPELON,08606,0,Por demanda,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",",00",",00",,3226,2015-12-31,2015-12-31,
47318,,,Regi�n Caribe,47,MAGDALENA,GUAMAL,47318,0,22000,0,0,0,3,3,0,0,0,0,0,0,0,0,"29466,00","29466,00",,",00",,",00",,9365,2021-12-31,2021-12-31,
52254,,,Regi�n Pac�fico,52,NARI�O,EL PE�OL,52254,0,22000,0,0,0,0,0,0,0,0,0,0,0,0,0,",00",",00",,",00",,",00",,9365,2021-12-31,2021-12-31,
